FIPS,State_Name,County_Name,Total_Population,Prison_Population,Percent_In_Prison,Prison_Name,Student_Population,Percent_Student,Universities,Military_Population,Percent_In_Military,Military_Institutions,Native_American_Population,Percent_Native_American,Native_American_Reservations
1011,Alabama,Bullock County,10357.0,1580.0,15.20%,Union Springs Police Department; Bullock County Red Williams Detention Center; Bullock Correctional Facility,0.0,0.00%,,0.0,0.00%,,0.0,0.00%,
1087,Alabama,Macon County,19532.0,0.0,0.00%,,1882.0,9.60%,Tuskegee University,0.0,0.00%,,0.0,0.00%,
1119,Alabama,Sumter County,12345.0,0.0,0.00%,,981.0,7.90%,University Of West Alabama,0.0,0.00%,,0.0,0.00%,
2016,Alaska,Aleutians West Census Area,5232.0,0.0,0.00%,,0.0,0.00%,,232.0,4.40%,,0.0,0.00%,
2050,Alaska,Bethel Census Area,18666.0,0.0,0.00%,,0.0,0.00%,,0.0,0.00%,,15632.0,83.70%,Mekoryuk; Newtok; Tununak; Toksook Bay; Nightmute; Chefornak; Kasigluk; Nunapitchuk; Atmautluak; Kipnuk; Lower Kalskag; Kalskag; Tuntutuliak; Napakiak; Bethel; Akiachak; Oscarville; Napaskiak; Tuluksak; Kwethluk; Akiak; Kwigillingok; Kongiganak; Aniak; Eek; Chuatbaluk; Crooked Creek; Napaimute; Georgetown; Kwinhagak; Red Devil; Sleetmute; Stony River; Platinum; Goodnews Bay; Lime Village
2060,Alaska,Bristol Bay Borough,844.0,0.0,0.00%,,0.0,0.00%,,0.0,0.00%,,305.0,36.10%,South Naknek; King Salmon
2070,Alaska,Dillingham Census Area,4857.0,0.0,0.00%,,0.0,0.00%,,0.0,0.00%,,3453.0,71.00%,Togiak; Twin Hills; Aleknagik; Manokotak; Koliganek; Curyung; New Stuyahok; Clark's Point; Ekwok; Ekuk; Portage Creek
2090,Alaska,Fairbanks North Star Borough,95655.0,0.0,0.00%,,0.0,0.00%,,2322.0,2.40%,Fort Wainwright; Yukon Weapons Range; Birch Lake Recreation Annex; Eielson Air Force Base; Yukon Weapons Range; Eielson Air Force Base,0.0,0.00%,
2105,Alaska,Hoonah-Angoon Census Area,2365.0,0.0,0.00%,,0.0,0.00%,,0.0,0.00%,,878.0,37.10%,Hoonah; Angoon
2150,Alaska,Kodiak Island Borough,13101.0,0.0,0.00%,,0.0,0.00%,,306.0,2.30%,,0.0,0.00%,
