FIPS,State_Name,County_Name,Tract_Name,Total_Population,Prison_Population,Percent_In_Prison,Prison_Name,Student_Population,Percent_Student,Universities,Nearby_Universities,Military_Population,Percent_In_Military,Military_Institutions,Native_American_Population,Percent_Native_American,Native_American_Reservations
1005950200,Alabama,Census Tract 9502,Barbour County,3363,1211,36.00%,Barbour County Jail,0,0.00%,,,0,0.00%,,0,0.00%,
1005950400,Alabama,Census Tract 9504,Barbour County,3998,1306,32.60%,Easterling Correctional Facility,0,0.00%,,,0,0.00%,,0,0.00%,
1007010011,Alabama,Census Tract 100.11,Bibb County,3253,1512,46.40%,,0,0.00%,,,0,0.00%,,0,0.00%,
1011952202,Alabama,Census Tract 9522.02,Bullock County,4341,1567,36.00%,Bullock Correctional Facility,0,0.00%,,,0,0.00%,,0,0.00%,
1015000600,Alabama,Census Tract 6,Calhoun County,1780,438,24.60%,Calhoun County Jail,0,0.00%,,,0,0.00%,,0,0.00%,
1015000800,Alabama,Census Tract 8,Calhoun County,1752,570,32.50%,,0,0.00%,,,0,0.00%,,0,0.00%,
1015002101,Alabama,Census Tract 21.01,Calhoun County,5300,0,0.00%,,3345,63.10%,Jacksonville State University,Jacksonville State University,0,0.00%,,0,0.00%,
1045020000,Alabama,Census Tract 200,Dale County,4474,0,0.00%,,0,0.00%,,,407,9.00%,Fort Novosel AL,0,0.00%,
1051030103,Alabama,Census Tract 301.03,Elmore County,5534,3976,71.80%,Draper Correctional Facility,0,0.00%,,,0,0.00%,,0,0.00%,
1053970400,Alabama,Census Tract 9704,Escambia County,4511,1583,35.00%,Fountain Correctional Facility,0,0.00%,,,0,0.00%,,741,16.40%,Poarch Creek Reservation
1073002702,Alabama,Census Tract 27.02,Jefferson County,2034,580,28.50%,Birmingham Jail,0,0.00%,,,0,0.00%,,0,0.00%,
1073003001,Alabama,Census Tract 30.01,Jefferson County,3200,0,0.00%,,1017,31.70%,Birmingham-Southern College,Birmingham-Southern College,0,0.00%,,0,0.00%,
1073004501,Alabama,Census Tract 45.01,Jefferson County,3159,0,0.00%,,2893,91.50%,,University Of Alabama At Birmingham,0,0.00%,,0,0.00%,
1073010704,Alabama,Census Tract 107.04,Jefferson County,5279,0,0.00%,,2184,41.30%,Samford University,Samford University,0,0.00%,,0,0.00%,
1073012200,Alabama,Census Tract 122,Jefferson County,4022,1514,37.60%,Donaldson Correctional Facility,0,0.00%,,,0,0.00%,,0,0.00%,
1077010100,Alabama,Census Tract 101,Lauderdale County,2278,0,0.00%,,1097,48.10%,University Of North Alabama,University Of North Alabama,0,0.00%,,0,0.00%,
1081040700,Alabama,Census Tract 407,Lee County,5173,0,0.00%,,4366,84.30%,Auburn University,Auburn University,0,0.00%,,0,0.00%,
1083020805,Alabama,Census Tract 208.05,Limestone County,5310,2360,44.40%,Limestone Correctional Facility,0,0.00%,,,0,0.00%,,0,0.00%,
1087231700,Alabama,Census Tract 2317,Macon County,2191,0,0.00%,,1838,83.80%,Tuskegee University,Tuskegee University,0,0.00%,,0,0.00%,
1089000203,Alabama,Census Tract 2.03,Madison County,5584,0,0.00%,,2867,51.30%,Alabama A & M University,Alabama A & M University,0,0.00%,,0,0.00%,
1089001500,Alabama,Census Tract 15,Madison County,5895,0,0.00%,,2209,37.40%,University Of Alabama In Huntsville,University Of Alabama In Huntsville,0,0.00%,,0,0.00%,
